Ulasan,Label
lvl 13 dikasi musuh lvl 15 full pleton lvl15+evolusi KOCAAKKKKKKK,Negatif
game nya kurang seru.dapet musuh gk setara lv kartu dan lv menara kingnya,Negatif
keren,Positif
"apalah ngeleg tiba tiba,dapet yang tidak selevel,game buruk,game gak mutual",Negatif
"kenapa ya setiap login selalu stak di 75 gak jalan jalan, padahal internet lancar, ya walaupun gak sering cuma tolong di perbaiki lagi",Negatif
game yang sangat mengecewakan always stuck multiple times,Negatif
TOLONG BANGET SEBENAR BENAR NYA SAYA SUSAH MENGHADAPI BOT YANG DIATUR UNTUK BERMAIN DENGAN CARA SPAMMER SAYA SUDAH KALAH BERKALI KALI JIKA DIKATAIN SKILL ISSUE MANA ADA SKILL ISSUE SAYA CAPEK BANGET DAN GA MAU MAIN SAMA GAME GINI LAGI,Negatif
unbalanced matchmaking.,Negatif
stupid game giving enemy that we're more leveled by card and tower,Negatif
game burik,Negatif
game sampah,Negatif
game ini bagus tapi saya kasi bintang 1 karna game ini tidak bagus untuk player geratisan karena game nya pay to win karna beberapa kartu harus membuka pass royal,Negatif
"cukup pakai evolusi valkrey dan penembak mercon anda akan memenangkan seluruh pertandingan...evolusi sampah,yang menang adalah yang memiliki kartu evolusi..ini bukan game startegi,ini game evolusi sampah",Negatif
abis update knp spell jd mengecil....jd ga seru nih.....tiap mau menang tiba2 keluar sndri trus kalah....mau pake wifi kuota bnyk sama aja keluar sndri trus kalah payah,Negatif
terbaik,Positif
"ngelag mulu najis, connection lost mulu",Negatif
lag di tengah permainan.lawan g seimbang game busuk,Negatif
menghibur 😀👍,Positif
"arena 6 musuhnya punya prince,x bow,barbarian barrel.game gak ngotak emng",Negatif
mantap,Positif
"Pembagian lawan bukannya makin seimbang, makin tahun malah makin parah. Dari dulu beda 1-2 lvl okelah walau berat, soalnya kartu masih sedikit variasinya & gak ada evolusi dll, jadi masih bisa memperkirakan deck musuh & gimana nge-counter. Sekarang kartu makin banyak, selisih lawan bisa sampai 3-5 lvl, tiap ganti deck ketemunya lawan yg decknya berat. Bahkan training camp gw yg lvl 12 trainernya lvl 15 full, hadeh...",Negatif
"Bagus gamenya lancar, dan enak untuk dimainkan dan juga updatenya juga bagus dan lebih bagus daripada yg sebelumnya.",Positif
level nya susah,Negatif
"game dajjal, p2w di kasih menang",Negatif
gausah download game ini cuihh game problematik,Negatif
"game tài, pay to win",Negatif
"saya kecewa kepada supercell, saya bermain sejak 9 tahun yg lalu,musuh tidak adil, tidak selevel, kadang juga tidak di beri kemenangan, musuh sangat tidak wajar dan elixir lambat, saya hanya menyapaikan kritik,penilaian ini berdasarkan pengalaman pribadi",Negatif
mantap,Positif
Kerenn,Positif
game busuk lawan tidak sesuai..sinyal bagus tapi koneksi tidak setabil dasar anjg,Negatif
"entah jaringan gw atau cr nya pokoknya delay mulu tiap main cr, main coc padahal lancar aja",Negatif
bagus,Positif
bagus ini game tapi kadang kadang ada update yang biasanya agak nyusahin sih menurut saya,Positif
"jelek karena jaringan ngelag pasti kalah,saran jika jaringan ngelag atau hilang sinyal trophy tidak berkurang",Negatif
banyak player yang make cheat.,Negatif
"game yg sangat bagus, tapi sangat susah untuk menaikkan level kartu yg kita punya, terlebih lagi banyak orang yg rela menghamburkan banyak duit untuk up sana sini, jadinya setiap main pasti seengaknya ketemu 1 orang yg kartunya udah maks (level 15), padahal baru level 12 rajanya, dan tropi nya juga masih 6000 an",Positif
"sengaja gua taro di atas biar bisa dibaca, tolonglah developer sinyal udah 4G paket masih banyak, tapi ngelag minta ampun, otomatis peluang musuh dong menang tanpa perlawanan, tolong diperbaiki lagi",Negatif
gamenya seru banget,Positif
"apalah, gw main selalu ngelag mulu padahal jaringan juga bagus bagus aja pas gw test di game lain ping 8 tpi pas main cr malah drop gjls, moga update selanjutnya di perbaiki",Negatif
"sinyal untuk bermain sangat lah buruk, harus stabil dan itu mengganggu saya",Negatif
loading terus muncul perbaruan lama banget kenapa ya,Negatif
game taik,Negatif
"aku main ngerank ngelag Mulu, padahal udah di boost pake Ka Le tetep ngelag, sampe kalah, mohon sistemnya diperbaiki😡😡😡",Negatif
"Hey supercell, Saya menyarankan anda untuk memisahkan match antara player F2P Dan p2w, kami para F2P sangat kesulitan untuk menang ketika melawan player P2W, atau naikan saja harga nya biar orang tidak mampu untuk membeli bundle di shop",Others
game kikir,Negatif
lvl 12 vs lvl 14???????? so unfiar stupid game,Negatif
not balance tower level👹👹👹,Negatif
ohh guardian..,Others
accoun hilang tolol supercell id,Negatif
ini game pembawa emosi 11/12 sama mobile lengeds pokok nya setiap habis ngeklaim kalok gak ngeklaim kartu baru mesti langsung di pertemukan musuh yang sulit gue udah emosi sama gratisan sekarang mending gratisan yang dulu,Negatif
game gak adil,Negatif
👎👎👎👎👎👎👎👎👎👎👎👎👎,Negatif
"Udh lama g main, pas main lgi tiba-tina pleton musuh ada evo semua jir 😌",Others
game nya baik,Positif
game asik,Positif
gabisa login padahal wifi lancar dan musuhnya susah,Negatif
pay to win game,Negatif
"taktik fusi. bukan tentang siapa yang jago tentang taktik dan menyusun dek. tapi kemenangan sudah di tentukan oleh developer. karna dari pengalaman saya bermain. dek bintang tiga dengan deck yang besar sekalipun akan mudah di kalahkan oleh deck-deck kecil milik lawan. sering sekali deck yang kita miliki hanya diam, atau hanya berjalan2 saja. dan dari sini saya memahami bahwa. keberuntungan sudah di atur oleh pihak developer",Others
"Game TOLOL, Pay to Win gk adil banget, gw level 11 bisa ketemu sama player lvl 14 auto mokad lah bgsd hadeh...Anjinggg",Negatif
"game p2w eliksir musuh gangotak cepetnya punya kita lambat, game aneh.",Negatif
kikir royal,Negatif
sinyal lag terus su,Negatif
baguss,Positif
"game gajelas, game aneh super duper aneh",Negatif
"Game clash royale jelek, mau main malah kalah terus, musuhnya payung to win, kartu susah di dapet, chest dan barangnya sedikit dan barangnya terbatas",Negatif
"kasih lawan yang seimbang, ngotak dikit lah. masa perbedaan lawannya jauh banget",Negatif
"secara gameplay terbilang buruk, karena pembagian lawan yg tidak adil berdasarkan power dan trofi serta pengurangan dan penambahan trofi tersebut. selain itu sinyal dalam game sangat lah buruk walau digame game open world rpg terbilang lancar. sisanya mekanisme gamenya cukup simple dan menguras otak",Negatif
musuh ga balance,Negatif
celeng!!!!!! game asu,Negatif
bagus game nya😶,Positif
gk bisah di buka di samsung a32,Others
mantap sekali,Positif
"kasih lawan tidak seimbang, gw main ni game hampir stres udah menang kalah lagi menang kalah lagi menang kalah lagi sudah beruntun selama 5x",Negatif
game nya enak... tapi sayang nya yang main sedikit...,Positif
GAME TOLOL P2W AUTIS,Negatif
suka ketemu musuh beda level kaya sudah di seting,Negatif
game terbaik sepanjang masa,Positif
"seru tapi, minimal lawannya harus seimbang terus sinyal nya suka ilang padahal bagus jaringan ku",Negatif
mantaap,Positif
Nice,Positif
game kntl gw pas mau naik arena 7 dibikin kalah 7 kali game asw,Negatif
ah,Others
"jika akunku ga balik ku rate 1,lagi klok balik lagi ku rate 5 pakai 3 akunku yang lain(gamenya bagus sebenarnya)",Others
game lu ngelag mulu jembut,Negatif
"often lose signal, even though my wifi is stable in heavy games.",Negatif
this connection is low after update bad apk,Negatif
bisa adil gasi sama setiap user ny?,Negatif
suka,Positif
good no comment,Positif
"bad matchmaking, too many cheaters",Negatif
mantap 🔥💯👍,Positif
kasih lawan itu yang seimbang lahh apalagi taktik fusi awalnya menang tiba tiba kalah terus,Negatif
oke,Positif
game Dajjal main taktik fusi gak dapet bagus malah jelek semua tot,Negatif
Gak bisa masuk ke apknya cuma layar depannnya aja,Negatif
"oi developer, kenapa jariang putus putus mulu, gak bisa di betulin kah, gw tiap main selalu kalah gara gara disconnect terus",Negatif
"Lawan masih tidak seimbang, jaringan bagus tapi sering lag terutama saat malam hari.",Negatif
sering stuck di loading 75% ??!!!!!,Negatif
bosok,Negatif
Game tai,Negatif
sucks,Negatif
seru jirrrr,Positif
game sampah,Negatif
perbaiki saat masuk lama stak di75% sinyal aman wifi aman main coc juga bisa aman aman aj,Negatif
sangat baik,Positif
game sampah ketemu musuh level benteng sama level kartu lebih tinggi ga sebanding,Negatif
"Kebijakan login dengan supercell id membuat akun saya tidak bisa login atau hilang, saya membuat laporan kepada pihak supercell malah kata mereka akun saya tidak bisa dipulihkan karena mereka tidak bisa memastikan bahwa itu akun saya!? lalu bagaimana solusinya untuk akun lama saya yang saya tidak bind dengan supercell id dan tidak bisa login? apakah saya memang harus merelakan akun tersebut? kebijakan dari supercell ini hanya menyusahkan player yang ingin comeback dan nostalgia dengan akun lama",Others
game ampas main pake wifi ngelag pake internet ngelag bikin hp panas sekalinya tersambung disuruh keluar dulu,Negatif
"seperti ulasan ku sebelum nya, main di training days yang harus ada 3 deck, ketemu level raja yang ga seimbang.",Negatif
"Game ini sebenrnya seru dan asik. Tapi rasanya ga adil sama sekali. MEGA KNIGHT ITU GAMASOKl AKAL. Nyawa tebel, isok loncat loncat ngehancurin pasukan, kabeh skill onok. Rasanya main cr sekarang bukan buat berstrategi maneh, tinggal spam mega knight ae wes kelar. Opo guna e mikir deck, mikir elixir lak semua pasukan langsung isok di hantam mega knight? Saran teko aku yo cell supercell, mega knight harus di nerf, atau elixir naik no jadi 8!!!",Others
"saat bermain selalu menemukan level yang tidak setara, musuhnya lvl 10 kita 9 dan begitu seterusnya",Negatif
hadiah dibatasi membosankan,Negatif
"giliran mau msuk arena baru / menang 1x lgsng dksih lawan gk logis anj, gk jls bet ni game",Negatif
"sinyal super busuk, sering banget sesekali setiap mau meraih kemenangan tiba-tiba sinyal hilang alhasil pas kembali lawan udah ngancurin tower dan kalah, bener-bener busukkkk nih Clash Royale sekarang, sampah !!!",Negatif
pay to win banget,Negatif
aku suka gamenya,Positif
"game pay to win, ini kah keadilan di dalam game? apakah develover haus dengan uang? developer membuat player pay to win menjadi menang dan membuat game tidak seimbang dan itu membuat player free to play kalah tolong minimal kurangi pay to win nya supaya semua player bisa menikmati game ini",Negatif
"*GAME PAY TO WIN, PERPUTARAN ELIKSIR GA SEIMBANG LAWANYA APALAGI,GA LOGISS,GAA MASUK AKAL, INTINYA MAIN GAME INI LU PUNYA UANG LO PUNYA KEMENANGAN",Negatif
"naik turun terus, game jelek, sengaja dikalahin terus",Negatif
"Adminnn, tolong lah TOLONGG!! Match makingnya yang adil dong. Aku hilang 500 thropy gara gara ketemu overlevel teruss!!!",Negatif
i don't like this gema!!!!!!!!!!!,Negatif
sangat keren,Positif
game nya seru dan bener bener harus pake strategi😋👍👍,Positif
P2WGOBLOK NGAPAIN BUAT GAME KALAU YANG BAYAR PASTI MENANG,Negatif
"buat yang keluhin eliksir lambat,sinyall ilang,lu aja yang skil isuee,aneh banget",Others
game gj p2w,Negatif
"Gw sengaja kasih bintang 5 biar kelihatan.Gk disaranin main,game p2w,game sistem hitam(tiap naik mau naik arena dikasih musuh over level,jaringan tb² ngilang).",Negatif
gilak ini game gk imbang parah dah,Negatif
We Clashing in it ❗,Negatif
bagus bgt game jaman aku masih SMP pernah main game ini,Positif
"apalah,ngasih lawan levelnya ga sepadan,baru main udah kena batinnya ini mah",Negatif
game with the most trash match making,Negatif
sering bgt buffering klu level dh tinggi tolong bgt apk,Negatif
"sinyal bagus tapi tiba tiba lag, sambungan terputus. pdhl lagi fase penentuan.",Negatif
saya tidak puas dengan performa game khususnya untuk masalah jaringan eror tiba tiba keluar masuk padahal jaringan ku lancar sampai saya test jaringan kenceng tolong respon kritikan para player biar semakin maju,Negatif
"keliatan banget kalo mau kalah pas main Taktik Fusi, card yang keluar ga ada yang bener aneh semua yang keluarnya, sedangkan player lain udah ada yang B3. card di aku malah keluar yang aneh-aneh ditambah card yang eliksir 3 keatas.",Negatif
game jmbt lawan gk ngotak level gw masih kecil ketemu lvl tinggi adil bro rugi gw main klo ginian,Negatif
good game,Positif
lag parah kntl,Negatif
domain server lemot,Negatif
bolelaaa...,Positif
"75% Mulu gak bisa login, memang asu",Negatif
keren . (aku malas menjeda lebih jauh lagi),Negatif
tolong lah jaringan nya diperbaiki pdhl sinyal full kecepatan jaringan juga bagus buat main tombol wifi Mulu kesel sumpah semenjak update jaringan nya kacau bukanya tambah baik malah buruk mohon maaf tak kasih bintang 1,Negatif
Game taik,Negatif
ketika buka aplikasikan loading dulu nah loading lnya itu lama bahkan gak bisa main main,Negatif
. aja.,Others
Game nya udah bagus tapi mb nya besar sampai memiri hp gw gak cukup,Negatif
lumayan seru cokkk,Positif
👍🏻💯🔥🔥🔥,Positif
knp akun saya riba riba hilang?,Others
"tolong perbaiki mengenai koneksi, entah server indonesia saja atau semua juga begini. setiap kali main pasti ada kendala koneksi. udan login ulang masih tetap sama padahal jaringan aman tidak ada masalah.",Negatif
Dikasih musuh yg ngounter mulu tolol,Negatif
game tolol sering DC pdhl koneksi bagus developer bego,Negatif
"aku suka banget sama gemnya, mantap trus juga banyak update tapi aku sering ngebug kayak ngestuck di loading acreen tolong di perbaiki ya🙏",Others
GAME RUSAK Jaringan lancar tapi buat mode taktik fusi ngelag2 terus gapernah lancar. Wifi/Data Buat download tembus 3-5Mbps dipake buat nih game busuk masih aja lag. sering banget kalah gara2 lag. udah coba gonta ganti jaringan masih aja lag,Negatif
astaga tidak seperti dulu lagi sekarang agak banyak pay to win,Negatif
"baru dowbload beberapa menit, lalu setelah itu tidak biaa login, padahal wifi aman... bagaimana ini? mau saya beri bintang 1?",Negatif
sinyal ga stabil pas main muncul gambar wifi mulu ajg,Negatif
"gak bisa masuk ke game nya,alesan nya ada kesalahan sambungan,padahal wifi gw full,tolong diperhatikan kembali developer..",Negatif
game babi,Negatif
"game p2w kelas kakap, musuh arena setara level setara, udah punya kartu Boss Bandit langka Level 12 ngelawan musuh kaya gw kartu Rata rata level 10, udah Gila ni developer miskinnya emang",Negatif
"musuh yang ga sepadan dengan punya dek saya , perputaran elixir yang gajelas dibuat secara sistem untuk kalah dan musuh pasti dikasih counternya dan level yang berbeda , dah itu aja saya awalnya pengen have fun main game ini malah. jadi emosi",Negatif
jos,Positif
Diperbaiki sistem jaringannya. GK usah tanya kenapa. nggak COC nggak game ini sama saja. top up elite sinyal sulit.,Negatif
pay to win nya sudah kelewatan,Negatif
"Kasih lawan yang seimbang, jangan cuma seimbang dari trophy seimbang juga dari level. masak base lawan HPnya lebih besar. Sama sistem trophynya jangan disamakan buat yang menang sama kalah. TAIIIIIIIIIII",Negatif
nicee,Positif
"Karena gold ku kebanyakan, tutor gold jadi saldo dana/gopay dong 😁😁😁",Negatif
Game nya bagus but a Aci :v,Negatif
asik,Positif
game banyak bug,Negatif
no komen,Negatif
nerf Mega knight,Negatif
"game sampah,lawan tidak seimbang,sinyal tiba tiba hilang",Negatif
uninstal aja game ini setiap pertandingan log out trus tapi masih nyerang terus .. 3 kalah karena log out,Negatif
"perbaiki jaringan, selalu relog ketika in game dan stuk di 75%",Negatif
Kurang dermawan,Negatif
"""War klan sering terasa tidak seimbang karena lawan yang didapat memiliki level 2–3 tingkat lebih tinggi secara terus-menerus. Hal ini membuat peluang menang menjadi sangat kecil dan mengurangi keseruan bermain. Semoga ke depannya sistem matchmaking bisa diperbaiki agar lebih adil dan seimbang, sehingga semua pemain bisa merasakan pengalaman war yang lebih seru dan menantang",Others
game p2w gajelas gasesuai level,Negatif
"bintang diubah 5 kalau sudah diperbaiki masalah sinyal!! main apapun pakai wifi atau kuota ga pernah dc , baru kali ini main game mobile bisa tb2 dc dan rtc",Negatif
soundnya hilang,Negatif
lu rata banget... lu rata banget...,Others
"pay to win , bad chance on good card i always getting gold in 4 star , also my 5 star only dropping epic card like i'm done with this game.",Negatif
game sepi server drop main ngelag,Negatif
oke,Positif
mau menang malah ngelag game kocak padahal wifi lancar bgt tiba tiba main ini game ngelag fix la gblokk gw mau menang ituu kontoll gw rate 1 lu anj semua akun gmail gw kocak bgt lu ytim,Negatif
game GK adill pemilihan lawan tidak sepadan game sampah pantes sepi,Negatif
ok,Positif
asik,Positif
"can't log in, stuck at 75 on the loading screen, and until now it can't be opened!!!",Negatif
"game ini paling burik gak adil msk udh arena 15 lawan nya raja level 12 13 sedang kan aku level 10 ajir dan putaran eleksir nya lama banget padahal udh pakek deck kecil yang bikin emosi adalah tiba "" jaringan jelek pas lagi perang dan keluar padahl sinyal saya bagus nyesel saya berjuang sampai arena 15 kalo kek gini",Negatif
"MAKIN PARAH, GAME SERING FORCE CLOSE TEPUTUS SAMBUNGAN APALAH GK JELAS MAKIN PARAH",Negatif
"game jelek sampah musuh g pernah sesuai sama level kita, masak game kayak gini doang sinyal harus stay bagus g cocok sama sekali",Negatif
"Tolonglah di fix masalah jaringan padahal sinyal dah bagus kali masi aja ngelag tiba"" muncul tanda wifi bby tu waih",Negatif
makin ribet makek akun sc kodenya ga masuk²,Negatif
Sayang err mulu kalo lagi batlle,Negatif
"SETARAKAN LV LAWANYA DONG,, ANEH BANGET GAME GAME",Negatif
"update terbaru clash royal ada iklannya, gak ngelarang buat tambah tambah pendapatan sih tapi masa pas war gameplay tiba tiba ada iklan harus nunggu iklan 25 detik lagi, selama 6 tahun saya main clash royal dn baru sekarang, apakah ini petunjuk harus pensiun",Negatif
is gonna be peak ngl this is good,Positif
parah banget sekarang bug nya gk bisa login,Negatif
sulit untuk login,Negatif
jelek,Negatif
server so bad,Negatif
pass royale😹😹😹,Others
gamenya sering terjadi masalah jaringan meskipun koneksi sudah 😎bagus,Negatif
Pembodohan p2w game ampas,Negatif
lawan tidak sebanding level ya jelas kalah game burik,Negatif
game jembut pay to winya gk ngotak musuh bantengnya dan level 13 semua masih level rendah,Negatif
game tolol eror mulu,Negatif
makin pelit hadiah lucky dropnya,Negatif
edan,Negatif
mantap,Positif
Seru,Positif
GAME K∅ⁿT∅|,Negatif
mengecewakan sekali 👎👎 koneksi internet leg parah padahal jaringan lancar,Negatif
berserker evo,Others
bagus jadi keinget jaman dulu,Positif
loading nya kelamaan,Negatif
game pay to win,Negatif
bagus,Positif
game ini sangat cocok untuk Anda,Positif
gw maen ketemu orang p2w kasi musuh yang lebih adil la kalau gak kasi bansos,Negatif
Peti legendaris kejauhan di arena 11 udah bner bener di arena 6,Negatif
connection issues,Negatif
INI BUKAN PERMAINAN YANG MENGHIBUR!!! TIDAK ADA KESENANGAN DALAM GAME INI!!,Negatif
ayolah super Cell masih kesusahan di pembukan peti hadiah harinya lama harus nunggu kenapa gak di bikin bisa buka 4 bok sekali gus🙂 ama peti hadinya dikit banget coba ajah berani beda auto rame gak sepi kaya gini,Others
pay to win hahahah nice i have done uninstall it,Negatif
kesenjangan Players,Negatif
bagus,Positif
bad customer support,Negatif
gk bisa masuk tolong di perbaiki lagi mass,Negatif
game jembut,Negatif
mantul,Positif
"sistem bodohh, lvl 14 dikasih lwn lvl 10",Negatif
"lawan ga seimbang masa level 7 ketemu level 10 padahal baru baru main lalu level 10 nya udh dapet kartu kartu bagus level nya tinggi pulak, ini mah game pay to win",Negatif
tolonglah diperbaiki bug lagnya ganggu bgt pas war ilang koneksi bukan apk lain lancar,Negatif
game dongo ngasih dek yang beneran dikit lah kocak lagi kepepet malah dikasih itu itu trs,Negatif
ketemu overlevel mulu,Negatif
bagus,Positif
sinyal tiba tiba hilang ga jelas ni game,Negatif
"game gak adil cok,arena 5 udh punya evo mana kartu musuhnya berbayar semua,asli ga seru bikin emosii",Negatif
Game gampang.,Positif
"Pat to win game, jangan di download",Negatif
good game,Positif
kalau buat game minimal bisa log in akun lama kalau gak bisa gak usah buat gamenya,Negatif
"mending gak usah di mainin ,saran dari gua",Negatif
bagus,Positif
ok,Positif
lb 8 di kasih lawan lv 11 mulu,Negatif
not bad,Positif
game nya Kren sekali 🥰,Positif
Minta tolong pihak supercell agar mode taktik fuse dibuat seperti magic chest yang di mobile legend pasti lebih seru dan nge lag nya tolong diperbaiki lagi. Semoga berkenan..,Others
lumayan,Positif
sy sdh pernah main selama 10 tahun lebih hanya akun sy hilang jadi baru mau mulai yg baru lagi game ini bagus.....,Positif
bagus,Positif
teknik fusi adalah game paling tidak fair play. game paling idiot di dunia,Negatif
"It's fun, but the signal sometimes lags even though the WiFi is good. Please fix this, the signal bug is really annoying when playing.",Others
loading game stuck di 75% di tunggu 5 menit tapi tidak sampai 100%,Negatif
ok,Positif
"pay to win nya terlalu jelas , ketimbang pubg yang terkenal p2w masih mengandalkan skill.",Negatif
Okh,Positif
semakin update semakin P2W 👿👿👎👎😾,Negatif
"dah keluarin meriam lama, eleksir nambah lama, kasih musuh gk seimbang w hapus juga nih game lama lama, mending coc dari pada ini sialan",Negatif
"game dongo matchmaking ampas,Masa baru arena 5 udah ketemu musuh pake prince,pekka level 9 aneh",Negatif
"Ngasih lawan ngga sepadan,sinyal nya kyk t*i",Negatif
"ga bisa login coy, sekelas supercell ancur gini",Negatif
"Give me ice wizard please,saya mohon bagi saya kartu ice wizard",Others
"game haram, penentuan lawan tidak adil, bikin orang stress bunuh diri",Negatif
bagus,Positif
"Sinyal sering error, padahal wifi lancar jaya.",Negatif
seru dan muat penyimpanan,Positif
"apaaan gak bisa login diakun lama, sinyal tiba tiba ilang gajelas",Negatif
jaringan bagus masih aja lag ngebuat kalah,Negatif
stupid matchmaking,Negatif
delay login,Negatif
